id,name,teacher,day,slots,credit,isBase,isLang,CourseNumber,program,isSmr
1121216,商事法總論與公司法,陳盈如,5,2|3|4,3,False,False,652174001,法科所,False
1121217,商事法總論與公司法,周振鋒,5,2|3|4,3,False,False,652174011,法科所,False
1121218,商事法總論與公司法,朱德芳,5,2|3|4,3,False,False,652174021,法科所,False
1121219,非訟程序,劉明生,3,5|6,2,False,False,652175001,法科所,False
1121220,民事法綜合研習,呂彥彬,1,7|8,2,False,False,652178001,法科所,False
1121221,基礎刑法,李聖傑,3,2|3|4,3,True,False,652193001,法科所,False
1121222,智慧財產、數位平台與競爭法,王立達,4,5|6|7,3,False,False,652194001,法科所,False
1121223,電子商務與網路法,王立達,4,3|4,2,False,False,652195001,法科所,False
1121224,專利法,陳龍昇,3,3|4,2,False,False,652197001,法科所,False
1121225,會計實務與法律專題研究（一）,朱德芳、馬秀如、詹聰哲,3,E|F|G,2,False,False,652199001,法科所,False
1121226,國際海洋法,陳貞如,4,3|4,2,False,False,652200001,法科所,False
1121227,環境法－環境責任論,傅玲靜,2,7|8,2,False,False,652855001,法科所,False
1121228,法律文件寫作與資料蒐集,顏玉明,3,7|8,2,False,False,652856001,法科所,False
1121229,行政程序法與正當程序,傅玲靜,1,7|8,2,False,False,652866001,法科所,False
1121230,地方自治法,詹鎮榮,3,3|4,2,False,False,652903001,法科所,False
1121231,家事事件法,姜世明,4,3|4,2,False,False,652905001,法科所,False
1122001,國際商事法專題研究,許耀明,3,F|G|H,3,False,False,961002001,法碩專班,False
1122002,行政法,林佳和、張桐銳、傅玲靜,6,2|3|4,3,True,False,961020001,法碩專班,False
1122003,民法債編總論,王千維、呂彥彬,6,D|5|6,3,True,False,961021001,法碩專班,False
1122004,物權法,吳瑾瑜、張韻琪,5,F|G|H,3,True,False,961022001,法碩專班,False
1122005,刑法分則,陳志輝,5,F|G|H,3,True,False,961023001,法碩專班,False
1122006,刑事訴訟法,楊雲驊,6,D|5|6,3,True,False,961024001,法碩專班,False
1122007,企業併購法專題研究,朱德芳、陳泰明、劉連煜,2,F|G|H,3,False,False,961028001,法碩專班,False
1122008,白領犯罪專題研究,李聖傑、黃士軒,2,F|G|H,3,False,False,961043001,法碩專班,False
1122009,租稅法專題研究,盛子龍、傅玲靜,5,F|G,2,False,False,961045001,法碩專班,False
1122010,證券交易法,朱德芳,1,F|G|H,3,False,False,961055001,法碩專班,False
1122011,中國大陸投資法律制度與實務（二）,王文杰,4,F|G|H,3,False,False,961064001,法碩專班,False
1122012,爭議案件與法律解釋方法,江玉林,6,2|3|4,3,False,False,961079001,法碩專班,False
1122013,消費者保護法專題研究,呂彥彬、楊淑文,5,F|G,2,False,False,961127001,法碩專班,False
1122014,侵權責任與責任保險專題研究,葉啓洲,1,F|G|H,3,False,False,961140001,法碩專班,False
1122015,論文寫作專題研究,朱德芳、李聖傑、廖元豪、戴瑀如,6,2|3|4,3,True,False,961156001,法碩專班,False
1122016,公司治理專題研究（二）,周振鋒,4,F|G|H,3,False,False,961173001,法碩專班,False
1122017,強制執行法專題研究（四）,劉明生,3,F|G,2,False,False,961205001,法碩專班,False
1122018,民事程序法專題研究（一）,姜世明,6,7,1,False,False,961206001,法碩專班,False
1122019,法律倫理專題研究,姜世明,6,8,1,False,False,961207001,法碩專班,False
1122101,智慧財產權法專題研究（二）,陳龍昇,3,7|8,2,False,False,651011001,法律系碩士班,False
1122102,刑法專題研究（六）,廖宜寧,5,5|6|7,3,False,False,651040001,法律系碩士班,False
1122103,英文法學名著選讀（一）,廖元豪,2,D|5|6,3,False,True,651043001,法律系碩士班,False
1122104,證券交易法專題研究（四）,劉連煜,1,7|8,2,False,False,651058001,法律系碩士班,False
1122105,行政法專題研究（三）,詹鎮榮,3,3|4,2,False,False,651067021,法律系碩士班,False
